Team,Year,Run right,Run middle,Run left,Pass short right,Pass short middle,Pass short left,Pass long right,Pass long middle,Pass long left
ARI,2017,394,631,370,948,964,943,325,310,476
TB,2017,555,373,527,1185,873,1230,533,386,400
GB,2017,572,421,732,958,742,970,496,154,212
MIA,2017,657,246,490,1031,682,1090,546,66,377
DET,2017,445,217,558,1106,815,990,575,400,584
BUF,2017,825,423,787,702,732,812,458,38,344
DAL,2017,837,602,739,798,649,1024,407,181,268
CHI,2017,535,143,1110,937,804,579,231,306,200
PHI,2017,635,696,788,936,675,1115,460,262,519
NYJ,2017,588,379,743,867,707,821,665,186,243
CIN,2017,665,188,531,917,933,775,306,337,118
PIT,2017,669,504,523,969,1126,974,619,413,441
MIN,2017,750,532,705,1126,533,1103,496,183,488
SEA,2017,580,506,547,862,767,851,488,328,677
NYG,2017,630,503,426,918,1040,1024,248,189,261
IND,2017,622,575,469,932,593,965,321,180,235
CAR,2017,724,551,850,830,437,1011,298,212,531
KC,2017,770,664,449,916,627,1063,652,399,669
TEN,2017,528,338,978,799,538,1073,315,378,291
HOU,2017,579,687,579,883,471,1000,522,350,418
JAX,2017,656,848,803,964,1034,691,245,409,373
SF,2017,498,369,807,1052,1057,894,298,454,480
LA,2017,642,476,852,870,680,1233,379,456,410
BAL,2017,854,218,801,796,1306,434,339,110,250
WAS,2017,579,374,505,1119,855,1061,562,199,297
ATL,2017,786,153,920,1069,964,1034,295,363,421
OAK,2017,508,493,563,1061,710,912,343,340,395
CLE,2017,699,355,662,877,570,774,544,296,476
DEN,2017,592,751,525,948,650,1188,301,121,460
LAC,2017,545,568,502,1048,907,1325,361,432,478
NE,2017,567,568,766,685,1011,1321,484,383,709
NO,2017,972,226,894,1132,562,1200,596,329,519
ARI,2018,322,772,256,695,574,731,334,206,344
TB,2018,515,485,532,958,1097,1329,768,675,531
GB,2018,539,480,654,1022,896,1026,615,331,739
MIA,2018,529,512,708,980,713,817,337,248,214
DET,2018,495,495,685,1004,795,1048,412,214,371
BUF,2018,737,585,671,818,359,763,430,168,544
DAL,2018,640,469,870,1133,585,1125,450,207,385
CHI,2018,835,268,853,997,778,703,547,263,459
PHI,2018,481,550,550,1475,702,1137,370,324,516
NYJ,2018,584,482,569,864,620,913,352,133,522
CIN,2018,613,421,654,881,923,806,409,243,307
PIT,2018,667,270,525,1206,1359,1110,512,350,637
MIN,2018,542,287,670,1335,631,1269,539,287,237
SEA,2018,844,840,888,768,544,756,463,318,599
NYG,2018,813,359,484,1280,809,849,506,232,729
IND,2018,519,584,638,1199,866,1168,525,405,432
CAR,2018,659,662,800,1210,767,1202,250,263,379
KC,2018,710,559,601,1325,775,1174,670,670,512
TEN,2018,600,590,835,755,807,814,301,196,382
HOU,2018,719,576,736,1087,816,1096,452,358,356
JAX,2018,457,805,467,1064,835,787,339,88,318
SF,2018,693,384,819,1010,1028,1177,376,329,327
LA,2018,787,536,935,881,1090,1317,511,404,527
BAL,2018,1208,531,719,853,1374,524,331,353,273
WAS,2018,896,344,542,707,886,849,198,288,359
ATL,2018,686,88,803,1165,1099,1189,408,278,810
OAK,2018,454,507,675,966,1129,1019,453,136,354
CLE,2018,898,219,782,1142,545,798,837,475,464
DEN,2018,623,683,610,1117,671,959,619,269,295
LAC,2018,625,432,830,1048,853,1073,364,432,546
NE,2018,627,595,833,1109,882,1238,341,472,363
NO,2018,1180,212,634,1124,584,1173,629,276,388
ARI,2019,489,740,778,941,642,925,644,286,359
TB,2019,470,491,573,1028,937,1203,898,584,477
GB,2019,690,641,490,998,553,1047,584,373,462
MIA,2019,449,368,347,913,1092,885,453,288,486
DET,2019,488,615,555,945,676,806,769,449,542
BUF,2019,782,587,696,689,776,910,569,82,450
DAL,2019,804,413,946,1294,902,1100,407,540,659
CHI,2019,469,240,752,808,811,780,474,284,416
PHI,2019,477,745,725,1259,629,1074,400,280,421
NYJ,2019,519,331,422,1116,422,892,373,284,356
CIN,2019,628,277,619,1009,999,943,182,407,454
PIT,2019,459,445,561,664,628,987,320,190,425
MIN,2019,746,324,1076,992,588,957,538,286,368
SEA,2019,852,488,875,904,678,1154,382,318,674
NYG,2019,803,388,499,1177,880,857,362,356,438
IND,2019,714,780,650,865,468,1097,419,130,335
CAR,2019,596,631,602,1302,555,1263,361,76,577
KC,2019,648,420,517,892,895,1097,858,403,545
TEN,2019,813,528,899,952,1010,907,445,362,280
HOU,2019,728,525,764,920,886,945,446,370,516
JAX,2019,291,712,717,1090,645,1044,599,329,316
SF,2019,880,435,1009,877,1113,1050,356,329,304
LA,2019,591,325,596,1377,999,1246,440,262,345
BAL,2019,1477,456,1329,728,934,662,341,476,209
WAS,2019,696,382,510,820,886,775,173,309,242
ATL,2019,539,212,622,1060,1130,1451,515,284,609
OAK,2019,781,382,737,859,1200,1024,299,301,427
CLE,2019,778,292,837,839,614,1074,715,360,245
DEN,2019,586,577,511,850,812,796,318,219,406
LAC,2019,638,294,528,1192,927,1051,478,416,584
NE,2019,677,367,672,1141,806,1076,515,290,325
NO,2019,688,266,804,1336,710,1298,384,232,471
