abbr_player_name,full_player_name,gsis_id,position,season,season_type,team
A.Brown,A.J. Brown,00-0035676,WR,2019,reg,TEN
A.Jones,Aaron Jones,00-0033293,RB,2019,reg,GB
A.Rodgers,Aaron Rodgers,00-0023459,QB,2019,reg,GB
A.Humphries,Adam Humphries,00-0032009,WR,2019,reg,TEN
A.Shaheen,Adam Shaheen,00-0033896,TE,2019,reg,CHI
A.Thielen,Adam Thielen,00-0030035,WR,2019,reg,MIN
A.Peterson,Adrian Peterson,00-0025394,RB,2019,reg,WAS
A.Wilson,Albert Wilson,00-0030669,WR,2019,reg,MIA
A.Armah,Alex Armah,00-0033296,FB,2019,reg,CAR
A.Erickson,Alex Erickson,00-0032543,WR,2019,reg,CIN
A.Mattison,Alexander Mattison,00-0034972,RB,2019,reg,MIN
A.Hurns,Allen Hurns,00-0030821,WR,2019,reg,MIA
A.Robinson,Allen Robinson,00-0031428,WR,2019,reg,CHI
A.Jeffery,Alshon Jeffery,00-0029137,WR,2019,reg,PHI
A.Kamara,Alvin Kamara,00-0033906,RB,2019,reg,NO
A.Cooper,Amari Cooper,00-0031544,WR,2019,reg,DAL
A.Abdullah,Ameer Abdullah,00-0032104,RB,2019,reg,MIN
A.Dalton,Andy Dalton,00-0027973,QB,2019,reg,CIN
A.Miller,Anthony Miller,00-0034353,WR,2019,reg,CHI
A.Brown,Antonio Brown,00-0027793,WR,2019,reg,NE
A.Tate,Auden Tate,00-0034686,WR,2019,reg,CIN
A.Ekeler,Austin Ekeler,00-0033699,RB,2019,reg,LAC
A.Hooper,Austin Hooper,00-0032392,TE,2019,reg,ATL
B.Mayfield,Baker Mayfield,00-0034855,QB,2019,reg,CLE
B.Braunecker,Ben Braunecker,00-0032661,TE,2019,reg,CHI
B.Roethlisberger,Ben Roethlisberger,00-0022924,QB,2019,reg,PIT
B.Fowler,Bennie Fowler,00-0030670,WR,2019,reg,NYG
B.Snell,Benny Snell,00-0035217,RB,2019,reg,PIT
B.Bell,Blake Bell,00-0032062,TE,2019,reg,KC
B.Jarwin,Blake Jarwin,00-0033658,TE,2019,reg,DAL
B.Wilson,Bobo Wilson,00-0033434,WR,2019,reg,TB
B.Cooks,Brandin Cooks,00-0031236,WR,2019,reg,LA
B.Bolden,Brandon Bolden,00-0029239,RB,2019,reg,NE
B.Perriman,Breshad Perriman,00-0032054,WR,2019,reg,TB
C.Anderson,C.J. Anderson,00-0029854,RB,2019,reg,DET
C.Prosise,C.J. Prosise,00-0032393,RB,2019,reg,SEA
C.Uzomah,C.J. Uzomah,00-0032134,TE,2019,reg,CIN
C.Ridley,Calvin Ridley,00-0034837,WR,2019,reg,ATL
C.Newton,Cam Newton,00-0027939,QB,2019,reg,CAR
C.Brate,Cameron Brate,00-0031273,TE,2019,reg,TB
C.Hyde,Carlos Hyde,00-0031045,RB,2019,reg,HOU
C.Wentz,Carson Wentz,00-0032950,QB,2019,reg,PHI
