team,year,gained_run,gained_air,gained_after_catch,lost_run,lost_air,lost_after_catch
GB,2019,1557.0,55.0,780.0,1622.0,22.0,596.0
CHI,2019,1127.0,51.0,612.0,1321.0,-26.0,607.0
CAR,2019,1507.0,-9.0,1071.0,1981.0,-49.0,401.0
LA,2019,1270.0,20.0,240.0,1539.0,64.0,443.0
WAS,2019,1371.0,29.0,634.0,1806.0,43.0,717.0
PHI,2019,1411.0,88.0,514.0,1082.0,-16.0,603.0
BUF,2019,1447.0,31.0,429.0,1332.0,3.0,573.0
NYJ,2019,904.0,17.0,534.0,975.0,68.0,609.0
ATL,2019,1113.0,91.0,497.0,1425.0,14.0,586.0
MIN,2019,2002.0,-40.0,895.0,1420.0,33.0,509.0
BAL,2019,1958.0,16.0,346.0,1295.0,-25.0,446.0
MIA,2019,516.0,-16.0,342.0,1754.0,95.0,471.0
KC,2019,1283.0,-96.0,699.0,1612.0,45.0,774.0
JAX,2019,1260.0,-11.0,676.0,1709.0,17.0,627.0
CLE,2019,1564.0,-23.0,464.0,1730.0,-17.0,613.0
TEN,2019,1749.0,-52.0,422.0,1328.0,68.0,670.0
LAC,2019,757.0,37.0,978.0,1553.0,-59.0,677.0
IND,2019,1599.0,18.0,427.0,1276.0,-97.0,757.0
CIN,2019,1307.0,-18.0,539.0,1611.0,20.0,585.0
SEA,2019,1706.0,-21.0,446.0,1301.0,-16.0,772.0
TB,2019,1204.0,30.0,407.0,849.0,18.0,449.0
SF,2019,2044.0,7.0,507.0,1242.0,-56.0,391.0
DAL,2019,1814.0,-3.0,530.0,1199.0,-37.0,709.0
NYG,2019,1243.0,-23.0,574.0,1302.0,-41.0,586.0
DET,2019,953.0,25.0,470.0,1585.0,174.0,649.0
ARI,2019,1295.0,55.0,591.0,1505.0,9.0,579.0
NE,2019,1547.0,222.0,907.0,1151.0,14.0,436.0
PIT,2019,1157.0,-100.0,727.0,1407.0,-24.0,435.0
HOU,2019,1520.0,37.0,424.0,1476.0,12.0,770.0
NO,2019,1494.0,-71.0,845.0,1015.0,44.0,512.0
OAK,2019,1682.0,116.0,665.0,1131.0,128.0,536.0
DEN,2019,1507.0,-53.0,505.0,1334.0,-19.0,609.0
ATL,2018,1365.0,0.0,460.0,1539.0,49.0,911.0
PHI,2018,1446.0,-52.0,712.0,1184.0,35.0,798.0
BAL,2018,1656.0,31.0,431.0,1039.0,-38.0,485.0
BUF,2018,1237.0,-34.0,586.0,1494.0,1.0,622.0
JAX,2018,1125.0,-17.0,757.0,1330.0,-9.0,536.0
NYG,2018,1527.0,-40.0,900.0,1549.0,145.0,476.0
NO,2018,1731.0,82.0,806.0,889.0,18.0,629.0
TB,2018,1050.0,83.0,351.0,1550.0,82.0,607.0
NE,2018,1567.0,97.0,841.0,1505.0,72.0,641.0
HOU,2018,1471.0,57.0,288.0,996.0,79.0,527.0
MIN,2018,1270.0,-37.0,505.0,1471.0,-55.0,723.0
SF,2018,1769.0,14.0,443.0,1477.0,15.0,783.0
TEN,2018,1592.0,-93.0,592.0,1541.0,-56.0,452.0
MIA,2018,1539.0,37.0,581.0,1829.0,45.0,700.0
CIN,2018,1413.0,-48.0,603.0,1815.0,96.0,779.0
IND,2018,1581.0,40.0,583.0,1353.0,18.0,802.0
PIT,2018,1309.0,-61.0,775.0,1287.0,3.0,478.0
CLE,2018,1583.0,9.0,598.0,1737.0,-15.0,736.0
LAC,2018,1696.0,-71.0,1119.0,1375.0,-22.0,938.0
KC,2018,1371.0,16.0,906.0,1795.0,50.0,753.0
DEN,2018,1741.0,-11.0,599.0,1767.0,-14.0,637.0
SEA,2018,2089.0,-14.0,488.0,1366.0,-99.0,971.0
DAL,2018,1577.0,-6.0,633.0,1211.0,-83.0,830.0
CAR,2018,1288.0,9.0,902.0,1413.0,-14.0,388.0
