team,year,gained_air,gained_after_catch,lost_air,lost_after_catch
CHI,2019,121.0,117.0,471.0,398.0
GB,2019,352.0,351.0,468.0,319.0
CAR,2019,459.0,274.0,362.0,338.0
LA,2019,584.0,584.0,478.0,381.0
WAS,2019,193.0,171.0,451.0,392.0
PHI,2019,988.0,622.0,281.0,239.0
BUF,2019,342.0,191.0,278.0,275.0
NYJ,2019,191.0,208.0,413.0,265.0
ATL,2019,469.0,371.0,369.0,399.0
MIN,2019,392.0,344.0,411.0,308.0
BAL,2019,923.0,599.0,314.0,234.0
MIA,2019,495.0,234.0,468.0,341.0
KC,2019,877.0,419.0,457.0,471.0
JAX,2019,145.0,154.0,459.0,330.0
TEN,2019,473.0,475.0,550.0,359.0
CLE,2019,253.0,193.0,444.0,362.0
IND,2019,505.0,462.0,501.0,272.0
LAC,2019,572.0,220.0,405.0,267.0
SEA,2019,266.0,118.0,531.0,534.0
CIN,2019,435.0,286.0,505.0,293.0
TB,2019,530.0,240.0,434.0,420.0
SF,2019,499.0,655.0,218.0,247.0
NYG,2019,307.0,338.0,530.0,248.0
DAL,2019,580.0,320.0,490.0,372.0
DET,2019,344.0,338.0,438.0,329.0
ARI,2019,319.0,226.0,686.0,402.0
NE,2019,239.0,179.0,417.0,271.0
PIT,2019,167.0,237.0,379.0,208.0
NO,2019,541.0,415.0,387.0,328.0
HOU,2019,350.0,417.0,372.0,451.0
OAK,2019,709.0,718.0,441.0,389.0
DEN,2019,328.0,386.0,540.0,420.0
ATL,2018,491.0,308.0,494.0,245.0
PHI,2018,1032.0,539.0,348.0,349.0
BAL,2018,567.0,504.0,542.0,423.0
BUF,2018,277.0,248.0,296.0,216.0
NYG,2018,386.0,549.0,567.0,392.0
JAX,2018,284.0,246.0,379.0,324.0
NO,2018,448.0,287.0,356.0,270.0
TB,2018,636.0,275.0,658.0,403.0
NE,2018,535.0,226.0,544.0,288.0
HOU,2018,377.0,368.0,542.0,536.0
SF,2018,567.0,914.0,318.0,313.0
MIN,2018,444.0,303.0,355.0,357.0
TEN,2018,413.0,389.0,346.0,300.0
MIA,2018,209.0,177.0,447.0,357.0
CIN,2018,414.0,294.0,480.0,505.0
IND,2018,791.0,425.0,729.0,465.0
CLE,2018,442.0,411.0,569.0,439.0
PIT,2018,490.0,628.0,573.0,314.0
KC,2018,856.0,644.0,581.0,486.0
LAC,2018,339.0,228.0,410.0,334.0
SEA,2018,267.0,324.0,439.0,258.0
DEN,2018,278.0,371.0,502.0,533.0
CAR,2018,389.0,287.0,577.0,336.0
DAL,2018,343.0,367.0,509.0,403.0
WAS,2018,546.0,434.0,263.0,436.0
ARI,2018,295.0,180.0,299.0,300.0
CHI,2018,452.0,216.0,321.0,320.0
GB,2018,508.0,414.0,412.0,364.0
NYJ,2018,391.0,344.0,293.0,249.0
DET,2018,259.0,191.0,482.0,264.0
OAK,2018,641.0,470.0,539.0,521.0
LA,2018,331.0,286.0,528.0,547.0
KC,2017,798.0,560.0,546.0,264.0
NE,2017,802.0,462.0,381.0,265.0
BUF,2017,546.0,401.0,583.0,304.0
NYJ,2017,286.0,192.0,506.0,270.0
PHI,2017,839.0,363.0,458.0,287.0
WAS,2017,554.0,412.0,572.0,405.0
OAK,2017,549.0,294.0,606.0,419.0
TEN,2017,651.0,364.0,504.0,349.0
HOU,2017,382.0,248.0,516.0,406.0
JAX,2017,237.0,268.0,315.0,331.0
ARI,2017,412.0,289.0,474.0,255.0
DET,2017,405.0,392.0,461.0,375.0
CLE,2017,495.0,322.0,473.0,423.0
PIT,2017,301.0,291.0,426.0,327.0
CHI,2017,438.0,234.0,327.0,259.0
ATL,2017,323.0,325.0,485.0,287.0
CIN,2017,302.0,262.0,540.0,373.0
BAL,2017,295.0,516.0,520.0,328.0
IND,2017,421.0,449.0,390.0,381.0
LA,2017,375.0,235.0,408.0,368.0
SF,2017,421.0,445.0,381.0,264.0
CAR,2017,387.0,258.0,282.0,303.0
GB,2017,303.0,324.0,366.0,331.0
SEA,2017,445.0,346.0,441.0,275.0
DAL,2017,528.0,145.0,386.0,381.0
NYG,2017,584.0,465.0,634.0,331.0
NO,2017,250.0,226.0,329.0,248.0
MIN,2017,353.0,293.0,304.0,292.0
DEN,2017,386.0,271.0,597.0,425.0
LAC,2017,640.0,303.0,444.0,224.0
TB,2017,770.0,354.0,381.0,266.0
MIA,2017,316.0,209.0,653.0,381.0
