Team,Year,Run right,Run middle,Run left,Pass short right,Pass short middle,Pass short left,Pass long right,Pass long middle,Pass long left
SEA,2017,580,430,818,807,847,755,497,365,346
OAK,2017,466,749,550,1040,768,940,658,281,358
CIN,2017,633,457,962,901,991,895,440,267,163
MIN,2017,548,334,464,964,663,773,457,204,268
JAX,2017,646,660,565,838,582,713,330,341,270
DET,2017,514,524,778,977,948,1075,356,445,320
IND,2017,723,664,559,735,955,892,447,478,616
HOU,2017,729,362,678,681,742,1070,386,637,483
PIT,2017,628,384,687,668,794,742,562,340,504
WAS,2017,898,569,653,695,704,934,426,446,486
NYG,2017,800,353,801,988,826,1211,321,446,407
KC,2017,467,718,717,947,640,1248,509,201,586
LAC,2017,779,695,626,857,856,791,422,235,231
LA,2017,599,738,617,1144,770,870,241,280,490
TB,2017,744,380,770,897,881,994,601,375,558
PHI,2017,399,412,445,950,821,1322,251,170,369
BUF,2017,749,552,713,910,819,1212,479,107,317
CAR,2017,636,315,472,1339,472,1088,249,289,520
CLE,2017,728,201,667,1197,773,1032,446,39,366
TEN,2017,521,453,452,1167,976,1140,257,189,379
DAL,2017,585,395,698,1011,870,988,233,310,334
DEN,2017,354,517,575,776,629,918,320,195,547
GB,2017,647,406,756,999,957,862,391,419,413
ATL,2017,665,179,835,957,659,1252,386,132,339
NE,2017,809,512,526,1059,807,1194,664,182,413
BAL,2017,769,174,875,788,873,754,515,449,322
NYJ,2017,794,454,647,1033,600,1061,430,189,595
MIA,2017,618,351,811,916,766,893,524,290,399
ARI,2017,396,560,477,1002,877,983,428,179,327
CHI,2017,721,271,750,977,777,869,402,379,249
SF,2017,625,517,741,1072,601,1045,538,165,512
NO,2017,688,292,816,949,770,964,542,126,533
SEA,2018,749,437,633,962,858,1218,276,396,393
OAK,2018,808,673,789,894,986,765,538,414,336
CIN,2018,806,521,887,1120,1192,967,635,331,342
MIN,2018,665,414,749,898,605,1068,317,234,379
JAX,2018,636,743,508,959,495,821,425,223,431
DET,2018,638,436,702,1036,688,877,586,296,414
IND,2018,425,558,651,1140,801,983,457,327,325
HOU,2018,466,344,518,1322,733,952,499,561,410
PIT,2018,614,464,471,929,1068,890,477,522,158
WAS,2018,608,507,764,1071,912,1144,368,328,268
NYG,2018,824,325,765,1106,953,940,560,279,391
KC,2018,687,755,659,1110,800,1224,703,187,697
LAC,2018,444,626,632,772,862,1044,442,273,493
LA,2018,571,707,686,941,727,951,480,491,516
TB,2018,909,462,634,1030,991,1093,471,269,529
PHI,2018,636,465,456,1322,663,1161,509,404,560
BUF,2018,606,482,768,888,741,724,187,255,289
CAR,2018,842,347,629,996,589,949,543,90,895
CLE,2018,916,242,1013,1324,873,1093,426,256,398
TEN,2018,653,583,639,915,664,874,209,431,626
DAL,2018,613,328,587,1152,770,1045,460,204,353
DEN,2018,594,530,808,1211,881,1050,407,456,235
GB,2018,650,478,806,902,983,885,346,262,696
ATL,2018,1039,203,740,1293,875,1006,460,231,543
NE,2018,555,409,845,933,838,1109,591,257,453
BAL,2018,460,323,524,759,931,760,499,273,429
NYJ,2018,813,582,637,1022,968,1084,600,289,395
MIA,2018,890,601,853,1217,674,1040,430,221,559
ARI,2018,931,953,608,954,707,1115,329,233,257
CHI,2018,536,199,545,945,1104,940,255,298,312
SF,2018,464,599,767,1001,580,1043,395,239,701
NO,2018,449,286,555,1054,880,1124,768,361,436
SEA,2019,592,431,866,1035,1021,1330,550,213,258
OAK,2019,575,425,585,899,956,757,632,501,610
CIN,2019,845,352,1206,638,993,930,552,562,446
MIN,2019,628,459,645,985,801,992,514,236,571
JAX,2019,765,656,825,996,907,1002,546,209,428
DET,2019,503,675,692,1171,840,936,874,330,588
IND,2019,714,431,441,1070,980,866,489,335,491
HOU,2019,697,446,804,1172,840,1316,598,178,387
PIT,2019,826,457,477,853,779,977,216,372,258
WAS,2019,934,463,954,1175,1011,930,374,279,324
NYG,2019,687,409,738,1152,849,913,524,536,497
KC,2019,847,559,652,1181,620,1054,377,311,338
LAC,2019,575,557,696,857,691,804,368,254,420
LA,2019,647,520,631,1091,875,984,336,320,322
TB,2019,449,244,500,1140,808,1196,707,198,598
PHI,2019,542,382,526,1172,620,907,479,394,564
BUF,2019,559,468,637,1056,532,1075,233,220,305
CAR,2019,747,737,833,1083,683,1024,421,224,562
CLE,2019,875,543,908,932,868,1093,266,176,405
TEN,2019,492,596,596,1004,877,1138,711,147,479
DAL,2019,466,510,695,1130,702,929,573,227,318
DEN,2019,484,530,775,787,732,1177,459,250,417
GB,2019,621,530,775,619,1018,909,588,546,336
ATL,2019,753,248,775,1096,488,1292,414,369,478
NE,2019,649,374,517,818,627,827,319,171,452
BAL,2019,862,139,499,689,917,845,537,361,234
NYJ,2019,469,358,575,1055,841,1077,402,225,401
MIA,2019,951,545,681,956,882,901,407,580,627
ARI,2019,486,833,608,1217,845,1354,501,379,489
CHI,2019,731,193,718,1105,737,762,378,371,443
SF,2019,685,491,628,799,556,1009,334,152,224
NO,2019,590,116,760,904,907,1070,338,529,453
