,,game_id,game_no,opp,play_type,play_direction,yards_gained
NYJ,0,2019090805,1,BUF,run,left,20
NYJ,1,2019090805,1,BUF,run,middle,21
NYJ,2,2019090805,1,BUF,run,right,27
NYJ,3,2019090805,1,BUF,short pass,left,103
NYJ,4,2019090805,1,BUF,short pass,middle,11
NYJ,5,2019090805,1,BUF,short pass,right,61
NYJ,6,2019090805,1,BUF,long pass,left,0
NYJ,7,2019090805,1,BUF,long pass,middle,0
NYJ,8,2019090805,1,BUF,long pass,right,0
NYJ,9,2019091600,2,CLE,run,left,10
NYJ,10,2019091600,2,CLE,run,middle,63
NYJ,11,2019091600,2,CLE,run,right,20
NYJ,12,2019091600,2,CLE,short pass,left,38
NYJ,13,2019091600,2,CLE,short pass,middle,39
NYJ,14,2019091600,2,CLE,short pass,right,58
NYJ,15,2019091600,2,CLE,long pass,left,30
NYJ,16,2019091600,2,CLE,long pass,middle,0
NYJ,17,2019091600,2,CLE,long pass,right,36
NYJ,18,2019092206,3,NE,run,left,8
NYJ,19,2019092206,3,NE,run,middle,22
NYJ,20,2019092206,3,NE,run,right,6
NYJ,21,2019092206,3,NE,short pass,left,18
NYJ,22,2019092206,3,NE,short pass,middle,4
NYJ,23,2019092206,3,NE,short pass,right,76
NYJ,24,2019092206,3,NE,long pass,left,0
NYJ,25,2019092206,3,NE,long pass,middle,0
NYJ,26,2019092206,3,NE,long pass,right,0
NYJ,27,2019100606,4,PHI,run,left,41
NYJ,28,2019100606,4,PHI,run,middle,10
NYJ,29,2019100606,4,PHI,run,right,16
NYJ,30,2019100606,4,PHI,short pass,left,73
NYJ,31,2019100606,4,PHI,short pass,middle,0
NYJ,32,2019100606,4,PHI,short pass,right,31
NYJ,33,2019100606,4,PHI,long pass,left,16
NYJ,34,2019100606,4,PHI,long pass,middle,0
NYJ,35,2019100606,4,PHI,long pass,right,0
NYJ,36,2019101310,5,DAL,run,left,21
NYJ,37,2019101310,5,DAL,run,middle,5
NYJ,38,2019101310,5,DAL,run,right,34
NYJ,39,2019101310,5,DAL,short pass,left,25
NYJ,40,2019101310,5,DAL,short pass,middle,61
NYJ,41,2019101310,5,DAL,short pass,right,13
NYJ,42,2019101310,5,DAL,long pass,left,117
NYJ,43,2019101310,5,DAL,long pass,middle,30
NYJ,44,2019101310,5,DAL,long pass,right,92
NYJ,45,2019102100,6,NE,run,left,6
NYJ,46,2019102100,6,NE,run,middle,30
NYJ,47,2019102100,6,NE,run,right,46
NYJ,48,2019102100,6,NE,short pass,left,16
NYJ,49,2019102100,6,NE,short pass,middle,0
NYJ,50,2019102100,6,NE,short pass,right,50
NYJ,51,2019102100,6,NE,long pass,left,0
NYJ,52,2019102100,6,NE,long pass,middle,0
NYJ,53,2019102100,6,NE,long pass,right,20
NYJ,54,2019102705,7,JAX,run,left,10
NYJ,55,2019102705,7,JAX,run,middle,20
NYJ,56,2019102705,7,JAX,run,right,17
NYJ,57,2019102705,7,JAX,short pass,left,22
NYJ,58,2019102705,7,JAX,short pass,middle,27
NYJ,59,2019102705,7,JAX,short pass,right,113
NYJ,60,2019102705,7,JAX,long pass,left,0
NYJ,61,2019102705,7,JAX,long pass,middle,33
NYJ,62,2019102705,7,JAX,long pass,right,23
NYJ,63,2019110304,8,MIA,run,left,23
NYJ,64,2019110304,8,MIA,run,middle,25
NYJ,65,2019110304,8,MIA,run,right,35
NYJ,66,2019110304,8,MIA,short pass,left,38
NYJ,67,2019110304,8,MIA,short pass,middle,37
NYJ,68,2019110304,8,MIA,short pass,right,105
NYJ,69,2019110304,8,MIA,long pass,left,38
NYJ,70,2019110304,8,MIA,long pass,middle,0
NYJ,71,2019110304,8,MIA,long pass,right,42
NYJ,72,2019111005,9,NYG,run,left,34
NYJ,73,2019111005,9,NYG,run,middle,16
NYJ,74,2019111005,9,NYG,run,right,27
NYJ,75,2019111005,9,NYG,short pass,left,32
NYJ,76,2019111005,9,NYG,short pass,middle,57
NYJ,77,2019111005,9,NYG,short pass,right,94
NYJ,78,2019111005,9,NYG,long pass,left,0
NYJ,79,2019111005,9,NYG,long pass,middle,0
NYJ,80,2019111005,9,NYG,long pass,right,47
NYJ,81,2019111707,10,WAS,run,left,67
NYJ,82,2019111707,10,WAS,run,middle,0
NYJ,83,2019111707,10,WAS,run,right,51
NYJ,84,2019111707,10,WAS,short pass,left,59
NYJ,85,2019111707,10,WAS,short pass,middle,23
NYJ,86,2019111707,10,WAS,short pass,right,96
NYJ,87,2019111707,10,WAS,long pass,left,94
NYJ,88,2019111707,10,WAS,long pass,middle,0
NYJ,89,2019111707,10,WAS,long pass,right,21
NYJ,90,2019112406,11,OAK,run,left,31
NYJ,91,2019112406,11,OAK,run,middle,22
NYJ,92,2019112406,11,OAK,run,right,36
NYJ,93,2019112406,11,OAK,short pass,left,152
NYJ,94,2019112406,11,OAK,short pass,middle,22
NYJ,95,2019112406,11,OAK,short pass,right,57
NYJ,96,2019112406,11,OAK,long pass,left,0
NYJ,97,2019112406,11,OAK,long pass,middle,31
NYJ,98,2019112406,11,OAK,long pass,right,53
NYJ,99,2019120102,12,CIN,run,left,19
NYJ,100,2019120102,12,CIN,run,middle,7
NYJ,101,2019120102,12,CIN,run,right,36
NYJ,102,2019120102,12,CIN,short pass,left,77
NYJ,103,2019120102,12,CIN,short pass,middle,40
NYJ,104,2019120102,12,CIN,short pass,right,64
NYJ,105,2019120102,12,CIN,long pass,left,20
NYJ,106,2019120102,12,CIN,long pass,middle,38
NYJ,107,2019120102,12,CIN,long pass,right,0
NYJ,108,2019120807,13,MIA,run,left,30
NYJ,109,2019120807,13,MIA,run,middle,44
NYJ,110,2019120807,13,MIA,run,right,39
NYJ,111,2019120807,13,MIA,short pass,left,52
NYJ,112,2019120807,13,MIA,short pass,middle,32
NYJ,113,2019120807,13,MIA,short pass,right,104
NYJ,114,2019120807,13,MIA,long pass,left,17
NYJ,115,2019120807,13,MIA,long pass,middle,26
NYJ,116,2019120807,13,MIA,long pass,right,39
NYJ,117,2019121200,14,BAL,run,left,39
NYJ,118,2019121200,14,BAL,run,middle,0
NYJ,119,2019121200,14,BAL,run,right,64
NYJ,120,2019121200,14,BAL,short pass,left,60
NYJ,121,2019121200,14,BAL,short pass,middle,26
NYJ,122,2019121200,14,BAL,short pass,right,50
NYJ,123,2019121200,14,BAL,long pass,left,0
NYJ,124,2019121200,14,BAL,long pass,middle,82
NYJ,125,2019121200,14,BAL,long pass,right,0
NYJ,126,2019122209,15,PIT,run,left,5
NYJ,127,2019122209,15,PIT,run,middle,29
NYJ,128,2019122209,15,PIT,run,right,52
NYJ,129,2019122209,15,PIT,short pass,left,68
NYJ,130,2019122209,15,PIT,short pass,middle,15
NYJ,131,2019122209,15,PIT,short pass,right,77
NYJ,132,2019122209,15,PIT,long pass,left,0
NYJ,133,2019122209,15,PIT,long pass,middle,23
NYJ,134,2019122209,15,PIT,long pass,right,0
NYJ,135,2019122901,16,BUF,run,left,58
NYJ,136,2019122901,16,BUF,run,middle,17
NYJ,137,2019122901,16,BUF,run,right,13
NYJ,138,2019122901,16,BUF,short pass,left,59
NYJ,139,2019122901,16,BUF,short pass,middle,28
NYJ,140,2019122901,16,BUF,short pass,right,67
NYJ,141,2019122901,16,BUF,long pass,left,24
NYJ,142,2019122901,16,BUF,long pass,middle,21
NYJ,143,2019122901,16,BUF,long pass,right,0
TEN,0,2019090801,1,CLE,run,left,54
TEN,1,2019090801,1,CLE,run,middle,13
TEN,2,2019090801,1,CLE,run,right,58
TEN,3,2019090801,1,CLE,short pass,left,91
TEN,4,2019090801,1,CLE,short pass,middle,85
TEN,5,2019090801,1,CLE,short pass,right,25
TEN,6,2019090801,1,CLE,long pass,left,0
TEN,7,2019090801,1,CLE,long pass,middle,47
TEN,8,2019090801,1,CLE,long pass,right,0
TEN,9,2019091508,2,IND,run,left,11
TEN,10,2019091508,2,IND,run,middle,30
TEN,11,2019091508,2,IND,run,right,83
TEN,12,2019091508,2,IND,short pass,left,44
TEN,13,2019091508,2,IND,short pass,middle,64
TEN,14,2019091508,2,IND,short pass,right,46
TEN,15,2019091508,2,IND,long pass,left,0
TEN,16,2019091508,2,IND,long pass,middle,0
TEN,17,2019091508,2,IND,long pass,right,0
TEN,18,2019091900,3,JAX,run,left,24
TEN,19,2019091900,3,JAX,run,middle,37
TEN,20,2019091900,3,JAX,run,right,30
TEN,21,2019091900,3,JAX,short pass,left,57
TEN,22,2019091900,3,JAX,short pass,middle,48
TEN,23,2019091900,3,JAX,short pass,right,38
TEN,24,2019091900,3,JAX,long pass,left,0
TEN,25,2019091900,3,JAX,long pass,middle,42
TEN,26,2019091900,3,JAX,long pass,right,119
TEN,27,2019092900,4,ATL,run,left,81
TEN,28,2019092900,4,ATL,run,middle,0
TEN,29,2019092900,4,ATL,run,right,57
TEN,30,2019092900,4,ATL,short pass,left,45
TEN,31,2019092900,4,ATL,short pass,middle,104
TEN,32,2019092900,4,ATL,short pass,right,28
TEN,33,2019092900,4,ATL,long pass,left,28
TEN,34,2019092900,4,ATL,long pass,middle,0
TEN,35,2019092900,4,ATL,long pass,right,22
TEN,36,2019100608,5,BUF,run,left,34
TEN,37,2019100608,5,BUF,run,middle,23
TEN,38,2019100608,5,BUF,run,right,45
TEN,39,2019100608,5,BUF,short pass,left,20
TEN,40,2019100608,5,BUF,short pass,middle,47
TEN,41,2019100608,5,BUF,short pass,right,116
TEN,42,2019100608,5,BUF,long pass,left,0
TEN,43,2019100608,5,BUF,long pass,middle,0
TEN,44,2019100608,5,BUF,long pass,right,0
TEN,45,2019101309,6,DEN,run,left,4
TEN,46,2019101309,6,DEN,run,middle,22
TEN,47,2019101309,6,DEN,run,right,14
TEN,48,2019101309,6,DEN,short pass,left,64
TEN,49,2019101309,6,DEN,short pass,middle,56
TEN,50,2019101309,6,DEN,short pass,right,62
TEN,51,2019101309,6,DEN,long pass,left,0
TEN,52,2019101309,6,DEN,long pass,middle,25
TEN,53,2019101309,6,DEN,long pass,right,0
TEN,54,2019102008,7,LAC,run,left,28
TEN,55,2019102008,7,LAC,run,middle,40
TEN,56,2019102008,7,LAC,run,right,30
TEN,57,2019102008,7,LAC,short pass,left,78
